,Month,Months' Income Borrowed,Total Loaned Per Month,Number of Loans Per Month
148,2012-2,3 to 4,1069814,80
149,2012-3,3 to 4,1096741,81
150,2012-4,3 to 4,1085172,88
151,2012-5,3 to 4,1375600,104
152,2012-6,3 to 4,1248537,98
153,2012-7,3 to 4,1421010,105
154,2012-8,3 to 4,1651039,116
155,2012-9,3 to 4,1987750,131
156,2012-10,3 to 4,1792865,130
157,2012-11,3 to 4,1596031,110
158,2012-12,3 to 4,866142,63
159,2013-1,3 to 4,1361667,88
160,2013-2,3 to 4,1256993,80
161,2013-3,3 to 4,2625544,165
162,2013-4,3 to 4,4126300,260
163,2013-5,3 to 4,5833898,359
164,2013-6,3 to 4,6040985,380
165,2013-7,3 to 4,8335247,524
166,2013-8,3 to 4,6833750,423
167,2013-9,3 to 4,10623576,666
168,2013-10,3 to 4,13585524,864
169,2013-11,3 to 4,13045885,803
170,2013-12,3 to 4,16205405,981
171,2014-1,3 to 4,18392002,1133
172,2014-2,3 to 4,13427086,795
173,2010-8,4+,44000,4
174,2010-9,4+,15000,1
175,2010-10,4+,19300,4
176,2010-11,4+,40500,4
177,2010-12,4+,69500,9
178,2011-1,4+,190900,15
179,2011-2,4+,116750,11
180,2011-3,4+,201780,21
181,2011-4,4+,272272,25
182,2011-5,4+,305842,30
183,2011-6,4+,222704,18
184,2011-7,4+,168284,18
185,2011-8,4+,285113,28
186,2011-9,4+,563737,46
187,2011-10,4+,500668,48
188,2011-11,4+,544300,51
189,2011-12,4+,545500,50
190,2012-1,4+,1086120,73
191,2012-2,4+,1233550,96
192,2012-3,4+,1413205,102
193,2012-4,4+,1073546,87
194,2012-5,4+,1248000,98
195,2012-6,4+,1388700,104
196,2012-7,4+,1697750,117
197,2012-8,4+,1704675,116
198,2012-9,4+,2347392,153
199,2012-10,4+,1813175,115
200,2012-11,4+,1783497,118
201,2012-12,4+,579315,41
202,2013-1,4+,823434,55
203,2013-2,4+,910920,56
204,2013-3,4+,2058368,131
205,2013-4,4+,1846402,115
206,2013-5,4+,237500,13
207,2013-6,4+,74000,11
208,2013-7,4+,160000,10
209,2013-8,4+,34000,9
210,2013-9,4+,233000,11
211,2013-10,4+,249500,13
212,2013-11,4+,281000,12
213,2013-12,4+,174000,7
214,2014-1,4+,218000,9
215,2014-2,4+,221700,9
